CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
Kayama Yuzo;5655;AI NO HOSHI KUSU;Kono mati ni sumi...;JP3;;
Kayama Yuzo;2194;UMI - SONO AI;Umi ni dakarete otoko naraba;JP4E;;
Kayama Yuzo;2280;KOI WA AKAI BARA;I love you yes I do aishite iru yo to;JP5B;;
Kayama Yuzo & Tanimura Shinji;5461;SARAI;Tooi yume sutekirezuni…;JP2;;
KC & The Sunshine Band;9053;SHAKE, SHAKE, SHAKE (SHAKE YOUR BOOTY);Oh everybody get on the floor;INT01, A43;;
KC & The Sunshine Band;4953;PLEASE DON'T GO;Babe, I love you so I want you to know...;INT01, USA2B;;
KC and The Sunshine Band;19633;THAT'S THE WAY (I LIKE IT);Oh that's the way uh-huh uh-huh I like it;INT08D;;
KC and The Sunshine Band;19736;GIVE IT UP;Everybody wants you;INT09C;;
Keane;5974;SOMEWHERE ONLY WE KNOW;I walked across an empty land;INT03, USA3D;;
Keane;2573;EVERYBODY'S CHANGING;You say you wander your own land;INT04B;;
Keane;2580;THIS IS THE LAST TIME;This is the last time;INT04B;;
Keane ;9262;IS IT ANY WONDER ; I... I always thought that I knew ;INT02, A45;;
Keh Unsuk;5276;BESA ME MUCHO;Sugata mini senaka utsushi...;JP1;;
Keh Unsuk;5323;AMORE (HAGUESHIKU AISHITE);Ano korowa ai datamo shiranaide…;JP2;;
Keh Unsuk;5368;HANA NO YOUNI TORI NO YOUNI;Soko ni arukara oikakete…;JP2;;
Keh Unsuk;5377;IBIYOR;Toki niwa omoidassu…;JP2;;
Keh Unsuk;5384;J;J soyogu kazeni J anatano sugaata…;JP2;;
Keh Unsuk;5415;MAYONAKA NO SHAWA;Mayonaka ni atsui shawa o abite…;JP2;;
Keh Unsuk;5445;OSAKA BOSHYOKU;Nishibi de yaketa tatami no…;JP2;;
Keh Unsuk;5462;SARAN HE (AISHITEMASSU);Aishitemassu anata…;JP2;;
Keh Unsuk;5479;TOKYO HOLD ME TIGHT;Gado beeruni motarete…;JP2;;
Keh Unsuk;5497;YOI DORETE;Hitori kutibeni fukitori…;JP2;;
Keh Unsuk;5647;YUME ONNA;Lassen kaidan noboru…;JP2;;
Keh Unsuk;5664;ANATA NO SOBANI;Subeteo sutetemo iito omotta...;JP3;;
Keh Unsuk;5780;PLEASE;Dhu dhururu dhu dhururu...;JP3;;
Keh Unsuk;5809;SHOUWA SAIGO NO AKI NO KOTO;Mazushissamo tsurakunai yojouhanni...;JP3;;
Keh Unsuk ;5262;SUZUME NO NAMIDA;Yono nakade anta ga itiban suki;JP1;;
Kei Unsuku;2061;AI HITOTSU YUME HITOTSU;Hashiri tsuzukete koko made kite;JP4B;;
Kei Unsuku;2084;GOODBYE LOVE;Daijohbu miokuranai de to;JP4C;;
Kei Unsuku;2198;YES TO KOTAETE;Tsuki ni koi suru yori mo;JP4E;;
Kei Unsuku;18281;AI NO MEIRO;Yasashisa o oshi nagasu ai sore wa;JP6C;;
Kell Smith;16204;ERA UMA VEZ;Era uma vez;30C;;
Kelly Clarkson;19018;STRONGER;You know the bed feels warmer;INT05A;;
Kelly Clarkson;19416;ANYTIME;Anytime you feel like you just can't hold on;INT07C;;
Kelly Clarkson;19533;MISS INDEPENDENT;Miss Independent Miss self sufficient;INT08B;;
Kelly Clarkson;19639;WALK AWAY;You've got your mother and your brother;INT08D;;
Kelly Clarkson ;9205;BECAUSE OF YOU ; I will not make the same mistakes ;INT02, A44;;
Kelly Clarkson ;9207;BREAKAWAY ; Grew up in a small town ;INT02, A44;;
Kelly Key;7666;PEGUE E PUXE;Puxe puxe;11D;;
Kelly Key;9564;VOCÊ É O CARA;A confiança tá fluindo;13D;;
Kelly Key;9580;A LOIRINHA, O PLAYBOY E O NEGÃO;Geral tava olhando a loirinha com o;14A;;
Kelly Key;1343;TÔ FORA;Podia ser muito melhor do que pensava;17A;;
Kelly Key;6325;BABA;Coitado... Você não acreditou...;5G;;
Kelly Key;6403;ANJO;Mais uma noite chega e com ela…;6A;;
Kelly Key;6486;CACHORRINHO;Se tem uma coisa que me deixa passada…;6C;;
Kelly Key;6562;ADOLETA;Me ganhou com esse jeito de menino…;6E;;
Kelly Key;7068;BARBIE GIRL;Sou a Barbie Girl;9A;;
Ken Hirai;5775;OOKINA FURUDOKEI (GRANDFATHER'S CLOCK);Ookina noppono furudokei ojiisan...;JP3;;
Ken Hirai;5784;RAKUEN;Mitasareta jikan no naka...;JP3;;
Kenjiro;18349;OYAJI YO;Oyaji mitai na otoko ga ih to;JP6D;;
Kenny Loggins;4821;FOOTLOOSE;I been workin' so hard…;INT01, A41;;
Kenny Rogers;4842;SHE BELIEVES IN ME;While she lays sleeping…;INT01, A41;;
Kenny Rogers;9200;YOU DECORATED MY LIFE;All my life was a paper…;INT02, 8E;;
Kenny Rogers;5991;THROUGH THE YEARS;I can't remember when you weren't there;INT03, USA3A;;
Kenny Rogers;19405;YOU AND I;All the man I am you are the reason for me;INT07C;;
Kenny Rogers;4589;LADY ;Lady, I'm your knight in shining armor;USAE;;
Kenny Rogers & Sheena Easton ;9236;WE'VE GOT TONIGHT ; I know it's late I know you're weary ;INT02, A44;;
Kenny Rogers e Dolly Parton;2647;ISLANDS IN THE STREAM;Baby when I met you there was peace on;INT04D;;
Kid Abelha;7702;STRIP-TEASE;Cai t-shirt;11D;;
Kid Abelha;7677;POR QUE EU NÃO DESISTO DE VOCÊ;Eu não desisto de você você precisa;11E;;
Kid Abelha;9445;EDUCAÇÃO SENTIMENTAL;Eu ando tão nervoso pra te escrever;13A;;
Kid Abelha;9448;EM NOVENTA E DOIS;Meu coração está on;13C;;
Kid Abelha;9897;TODO MEU OURO;De longe eu penso em você;14C;;
Kid Abelha;9598;ALICE;Tantos sonhos morrem em poucas palavra;14D;;
Kid Abelha;3166;NADA POR MIM;Você me tem fácil demais;1B;;
Kid Abelha;3002;A FÓRMULA DO AMOR;Eu tenho gestos aptos;1C;;
Kid Abelha;3073;EDUCAÇÃO SENTIMENTAL II;A vida que me ensinaram;1C;;
Kid Abelha;3524;GRAND' HOTEL;Se a gente não tivesse feito tanta coisa;1C;;
Kid Abelha;3518;DEUS (APAREÇA NA TELEVISÃO);ah ah ah ah ah ah ah ah se ele é Deus;1G;;
Kid Abelha;2750;OS OUTROS;Já conheci muita gente gostei de alguns;21D;;
Kid Abelha;15711;POLIGAMIA;Meus amores me querem inteira em qualquer;27B;;
Kid Abelha;3654;COMO É QUE EU VOU EMBORA;Ah,ah,ah,ah,ah,ah,ah;2B;;
Kid Abelha;3686;TE AMO PRA SEMPRE;Na na na na na na na;2B;;
Kid Abelha;3699;COMO EU QUERO;Diz prá eu ficar muda faz cara de mistério;2CMP;;
Kid Abelha;16135;MAIO;Maio já está no final;30A;;
Kid Abelha;4192;EU SÓ PENSO EM VOCÊ;Saí de casa à procura de ilusões;3G;;
Kid Abelha;4397;LÁGRIMAS E CHUVA;Eu perco o sono e choro...;4D;;
Kid Abelha;6177;EU CONTRA A NOITE;Fiz um contrato com a noite…;5C;;
Kid Abelha;6340;NADA TANTO ASSIM;Só tenho tempo pras manchetes...;5G;;
Kid Abelha;6385;SEU ESPIÃO;Uh uh uh… Ver você dormir…;5H;;
Kid Abelha;6498;NADA SEI (APNÉIA);Nada sei dessa vida vivo sem saber…;6C;;
Kid Abelha;6786;NO SEU LUGAR;Desde que estamos aqui eu não quero...;7D;;
Kid Abelha;6962;PEITO ABERTO;Me dá a mão me leva embora…;8C;;
Kid Abelha;7053;AMANHÃ É 23;As entradas do meu rosto;9A;;
Kid Abelha;7101;DEPOIS DAS SEIS;Desorientada esperei a lua aparece;9A;;
Kid Abelha;7132;EU TOU TENTANDO;Eu tou tentando largar o cigarro;9B;;
Kid Abelha;3216;PINTURA ÍNTIMA;Vem amor que a hora é essa;M;;
Kid Abelha;3478;NA RUA, NA CHUVA, NA FAZENDA;Não estou disposto;M;;
Kid Abelha E A.Selvagens;3753;FIXAÇÃO;Seu rosto na TV parece um milagre;2D;;
Kid Abelha ;15976;EU TIVE UM SONHO;Eu tive um sonho vou te contar;29A;;
Kika Tristão;1886;CORES DO VENTO;Se acha que eu sou selvagem;20C;;
Kiko Zambianchi;3843;HEY JUDE;Hey Jude, não fique assim;2F;;
Kiko Zambianchi ;1519;ROLAM AS PEDRAS;Vejo sonhos livres pais irmãos e filho;18A;;
Killers (The);19631;SOMEBODY TOLD ME;Breaking my back just to know your name;INT08D;;
Kiloucura;6097;EU TE AMO;Eu não aguento mais ter que viver...;5A;;
Kim Carnes;4569;BETTE DAVIS' EYES;Her hair is harrow gold;USAD;;
Kim Ranhi;18214;LOVE ~ DAKISHIMETAI;Suteki na anata ni meguriau tame;JP6A;;
Kim Yondya;5229;UTAWA WATASHI NO DINSEI;Umareta toki kara watashi ni wa;JP1;;
Kim Yondya;5314;AIRENKA;Sake ga namida o sassounoka…;JP2;;
Kim Yondya;5360;GARASSU NO KOI;Mo owaru none mierunoyo…;JP2;;
Kim Yondya;5648;YUME ORI;Kareha ga sora karano…;JP2;;
Kim Yondya;5714;IMUJINGAWA;Imujin gawa itsunohi mo kiyorana...;JP3;;
Kim Yondya;5850;YUME SENRI;Mabutao tojirya kokyouga mieru...;JP3;;
Kim Yonja;2153;NAMIDA NO KUSARI;Yoru ga shibarete yuki ni kawareba;JP4D;;
Kim Yonja;2174;KITA NO YUKI MUSHI;Koi wa kowareru ai wa iro aseru;JP4E;;
Kim Yonja;2316;AI NO DENSETSU;Furimukeba anata ga ima wa tooku ni ;JP5C;;
Kim Yonja;18203;ATSUI KAWA;Naze umarete kita no naze koko ni;JP6A;;
Kim Yonja;18396;YAKUSOKU;Dare ga mite itemo subete nakushitemo;JP7A;;
Kim Yonja;18403;ANYA KOORO;Ikite yuku no ga heta dakara nigara;JP7B;;
Kim Yonja;18453;FURUSATO AKA TONBO;Akai tonbo no furusato wa yuhyake ;JP7C;;
Kimura Kaela;18407;BUTTERFLY;Butterfly kyoh wa ima made no donna toki;JP7B;;
Kings of Leon;19355;USE SOMEBODY;Oh ohh oh ohhh... I've been roaming around;INT07A;;
Kings Of Leon;19472;SEX ON FIRE;Lay where you're laying;INT7D;;
Kiroro;5316;AITAI;Aitai to omou kotoga aishiteru…;JP2;;
Kiroro;5336;BEST FRIEND;Mou daijobu shimpai nai…;JP2;;
Kiroro;5420;MIRAIE;Hora ashimoto o mite…;JP2;;
Kiroro;5792;SAIGO NO KISS;Sunani kaita love letter...;JP3;;
Kiroro;2347;NAGAI AIDA;Nagai aida matasete gomen;JP5D;;
Kiroro;18228;SUKI NA HITO;Suki na hito ga tsurai toki ni iisho ni;JP6A;;
Kiroro;18250;FUYU NO UTA;Konna tooi machi ni mo yume o ataete;JP6B;;
Kiroro;18266;MOH SUKOSHI;Moh sukoshi nee moh sukoshi anata no;JP6B;;
Kiroro;18596;SANNIN NO SHASHIN;Shashin tate ni kazatta sannin no shashin;JP8B;;
Kishi Youko;5133;KOI KOKORO;Koi wa fushikine kieta hazu no;JP1;;
Kishi Youko;18558;YOAKE NO UTA;Yoake no uta yo atashi no kokoro no;JP8A;;
Kiss;9030;FOREVER;I gotta tell you what I'm feeling insid;INT01, A42;;
Kiss;2615;LOVE GUN;I really love you baby;INT04C;;
Kiss;2642;DETROIT ROCK CITY;I feel uptight on a saturday night;INT04D;;
Kiss;19142;ROCK AND ROLL ALL NITE;You show us everything you've got;INT05D;;
Kissugui Takao;5119;GOOD BYE DAY;Sukoshi dake tsukareta kao de;JP1;;
Kitagawa Daisuke;18589;OMAE O TSURETE;Kokoro no dokoka de sagashiteta;JP8B;;
Kitahara Mirei;2269;ISHIKARI BANKA;Gome ga naku kara nishin ga kuru to;JP5B;;
Kitahara Mirei;18408;CHOPIN NO AMAOTO;Ikinasai kono mama watashi o furikihte;JP7B;;
Kitahara Taku;18446;CHOHSHINSEI FLASHMAN;Chikyuh ni pinch ga yahte kuru dehkai;JP7C;;
Kitajima Saburo;5042;YOSSAKU;Yossaku wa ki o kiru;JP1;;
Kitajima Saburo;5131;KITA NO RYOOBA;Inoti nukumete yoinagara;JP1;;
Kitajima Saburo;5359;GAMAN ZAKA;Orega yaranakya darega yaru…;JP2;;
Kitajima Saburo;5434;NEEKO;Saita hana dake hito wa…;JP2;;
Kitajima Saburo;5720;KAEROKANA;Kaero kana kaeruno yossou kana....;JP3;;
Kitajima Saburo;5721;KAGAYAKI;Sakio isoide aruitemo...;JP3;;
Kitajima Saburo;2166;HASHI;Kono yo ni wa;JP4E;;
Kitajima Saburo;2253;FUHFU ISSHOH;Hajimete deatte musubarete;JP5B;;
Kitajima Saburo;2337;KOKORO;Haru ni wa hana ga saki natsu ni wa;JP5D;;
Kitajima Saburo;18263;MATSURI;Otoko wa matsuri o soh sa katsuide ikite;JP6B;;
Kitajima Saburo;18418;KAZE YO;Wakai uchi nara kizu darake sakarau;JP7B;;
Kitajima Saburo;18472;OTOKO NO JINSEI;Hana no saku michi ibara no michi mo;JP7C;;
Kitajima Saburo;18520;YUME KOI AKARI;Omae ga sasaete kureru kara ;JP7D;;
Kitajima Saburo;18565;BANZUIIN;Giri to ninjoh no otoko date;JP8B;;
Kitano Machiko;18598;TSUKI NO YADO;Mado ni koboreru tsuki akari;JP8B;;
Kitayama Takeshi;2145;KATAMICHI KIPPU;Itsuka hito hata agetakute;JP4D;;
Kitayama Takeshi;2158;OTOKO NO KOBUSHI;Damatta mama de inochi o moyasu;JP4D;;
Kitayama Takeshi;2181;OGA HANTOH;Kyoh mo ashita mo kokoro no tabi wa;JP4E;;
Kitayama Takeshi;2371;KIBOH NO UTA;Kimi to wakareru kanashimi ni;JP5E;;
Kitayama Takeshi;2396;TSURUGI SAN;Ame kaze taete dohdoh to;JP5E;;
Kitayama Takeshi;18385;OTOKO NO NAMIDA AME;Tohri ame nara nuretemo ih ga omae no;JP7A;;
Kitayama Takeshi;18431;OTOKO NO YOAKE MAE;Massugu ikitemo buchi ataru uso ga;JP7B;;
Kitayama Takeshi;18504;NASAKE GAWA;Suki to ihtara me no mae no shiawase;JP7D;;
KLB;9609;AMOR DE VERDADE;Entrou na minha vida feito um furacão;14E;;
KLB;1796;QUERO FICAR COM VOCÊ;Dessa vez vou ter coragem ;19D;;
Klb;4461;A DOR DESSE AMOR;Perdoa se estou te ligando amor...;4F;;
Klb;6014;ELA NÃO ESTÁ AQUI;Tá difícil esquecer...;4G;;
Klb;6096;ESTOU EM SUAS MÃOS;Você chegou de repente...;5A;;
Klb;6191;POR QUE TEM QUE SER ASSIM?;Uma linda estrela eu vi brilhar…;5C;;
Klb;6224;MINHA TIMIDEZ;Quero tanto dizer que eu só penso em...;5D;;
Klb;6252;EM MIM SÓ DÁ VOCÊ;Por que a nossa história precisa…;5E;;
Klb;6293;EU NUNCA TE ESQUECI;De novo vem a noite e eu estou aqui…;5F;;
Klb;6359;TE AMAR AINDA MAIS;Pra que se esconder se enganar...;5G;;
Klb;6386;SEU NOME;Quando escuto a sua voz…;5H;;
Klb;6481;A CADA DEZ PALAVRAS;Faz tanto tempo que eu venho te…;6C;;
Klb;6552;SÓ DESSA VEZ;Não consigo aceitar por que não você…;6D;;
Klb;6630;POR CAUSA DE VOCÊ;Só você não vê finge que não sabe…;6F;;
Klb;6686;CHUVAS DE VERÃO;Veio feito nuvem numa ventania...;7B;;
Klb;6805;A ILHA;Uma ilha deserta só pra nós dois;7E;;
Klb;6848;CAROLINA;E esse dia que não passa O telefone;7F;;
Klb;6995;UM ANJO;Hoje eu sonhei com um anjo…;8A;;
Kleber Lucas;2954;MEU ALVO;Estou subindo pra um lugar mais alto;EVAN04C;;
Kleber Lucas;2973;DEUS CUIDA DE MIM;Eu preciso aprender um pouco aqui;EVAN04D;;
Kleber Lucas;2997;TE AGRADEÇO;Eu te agradeço Deus por se lembrar de;EVAN04D;;
Kleber Lucas;7752;CASA DE DAVI CASA DE ORAÇÃO;Restaura Senhor o teu tabernáculo;EVB;;
Kleber Lucas;7748;AOS PÉS DA CRUZ;Meu Jesus maravilhoso;EVC;;
Kleber Lucas;7859;PRA VALER A PENA;Amanheceu;EVC;;
Kleber Lucas;7742;ALEGRIA DO SENHOR;O espírito de Deus se move em mim;EVD;;
Kleber Lucas;7889;VOU SEGUIR COM FÉ;O meu Deus é maior que os meus problem;EVD;;
Kleiton E Kledir;7336;DEU PRA TI;Deu pra ti baixo astral;10B;;
Kleiton E Kledir;7366;FONTE DA SAUDADE;Esse quarto é bem pequeno;10C;;
Kleiton E Kledir;7405;PÁRA, PEDRO;Era um baile lá na serra na Fazenda;10C;;
Kleiton e Kledir;1417;RODA DA FORTUNA;Em pleno século vinte eu quero mais é;17C;;
Kleiton e Kledir;1932;CORPO E ALMA;Quando eu era assim bem menor;20D;;
Kleiton e Kledir;15611;MARIA FUMAÇA;Essa Maria Fumaça é devagar quase;26D;;
Kleiton e Kledir;15914;PIRULITO ESQUISITO;Pirulito esquisito nunca vi uma coisa assim;28C;;
Kleiton E Kledir;3967;PAIXÃO;Oh...oh,oh,oh,oh,oh,oh;3A;;
Kleiton E Kledir;4380;VIRA VIROU;Vou voltar na primavera...;4C;;
Kleiton E Kledir;6225;NEM PENSAR;Eu hein nem pensar outra vez nem pensar...;5D;;
Kleo Dibah e Rafael;15623;SE EU ME ENTREGAR;Não quero mais ficar pensando em você;26D;;
Klymaxx;4913;I MISS YOU;Though I heard your voice yesterday...;INT01, USA2B;;
Knack;4642;MY SHARONA;Oh my little pretty one my pretty;USAF;;
Kobayashi Akira;5020;MUKASHI NO NAMAEDE DETEIMASU;Kyoto ni irutokya shinobuto yobaretano;JP1;;
Kobayashi Akira;5332;ATSUKI KOKORONI;Kitagunino tabino sora nagareru…;JP2;;
Kobayashi Sachiko;5152;OMOIDE ZAKE;Murishite nonza ikenaito;JP1;;
Kobayashi Sachiko;5807;SHIAWASSE;Yume nara sameru aa itsuka wa...;JP3;;
Kobayashi Sachiko;5848;YUME NO HATE;Atsuki kokorono meizuru mamani...;JP3;;
Kobayashi Sachiko;2053;MEOTO SHIGURE;Kaze o hiku yo to kasa sashi kakete;JP4B;;
Kobayashi Sachiko;2058;SETSUNAI YO;Aizome no noren o daseba;JP4B;;
Kobayashi Sachiko;2098;YUKI TSUBAKI;Yasashisa to kaisho no nasa ga;JP4C;;
Kobayashi Satiko;5289;MINATO HITORI UTA;Minato no akari ga meni shimiru...;JP1;;
Kobayashi Satiko;5425;MOSHIKASHITE;Moshikashite... Moshikashite…;JP2;;
Kobayashi Satiko;5481;TOMARIGUI;Sobofuru ame nara…;JP2;;
Kobayashi Satiko   ;5192;AME NO YATAI ZAKE;Shiranu dooshi ga kata yossete;JP1;;
Kobayashi Satiko   ;5204;KOINE OTITE;Moshimo negai ga kanau nara;JP1;;
Kobukuro;2014;SAKURA;Na mo nai hana ni wa namae o tsukem;JP4A;;
Kobukuro;2018;TOKI NO ASHIOTO;Wakare no kisetsu ni yureru;JP4A;;
Kobukuro;2019;TSUBOMI;Namida koboshitemo;JP4A;;
Koganezawa Shoji;5670;ARIGATOU KANSHA;Arigatou arigatou iitsukussenai...;JP3;;
Koganezawa Shoji;5734;KITA NO SANDAIME;Yaaren sooran sooran sooran...;JP3;;
Koganezawa Shoji;5841;YOSHITSUNE DENSETSU;Ishiga kurogaru namiga korogaru...;JP3;;
Koganezawa Shoji;2065;ANATA NI... GOMEN;Naku na otoko daro sonna kotoba de;JP4B;;
Koganezawa Shoji;2203;BAY SIDE HOTEL;Harbor light ga kirei da ne;JP5A;;
Koganezawa Shoji;2367;HITOHIRA NO YUKI;Kokoro bososa ni hitori sora o miagereba;JP5E;;
Koganezawa Shoji;2368;HORECHIMATTA YO;Lemon no wagiri glass ni ukabe;JP5E;;
Koganezawa Shoji;18468;NANBU ZAKE;Sake o nomu nara sakana wa iranu;JP7C;;
Kohda Kumi;2043;AI NO UTA;Moshi kimi ni hitotsu dake;JP4B;;
Kohda Kumi;2399;YOU;Shiroi iki ga fuyu o tsugeru;JP5E;;
Kohda Kumi;18526;FUTARI DE...;Koh shite mainichi sugoseru jikan o;JP8A;;
Koinonya;7784;FLUA;Flua em mim Senhor a Tua graça;EVB;;
Koinonya;7786;GRAÇAS A DEUS;Graças a Deus que nos dá a vitória em;EVC;;
Koinonya;7793;LEÃO DE JUDÁ PREVALECEU;Ouve-se o júbilo em todos os povos;EVC;;
Koinonya;7853;OFERTA DE AMOR;Venho Senhor minha vida oferecer;EVD;;
Kome Kome Club;5202;KIMI GA IRU DAKEDE;Tatoeba kimi ga iru dakede;JP1;;
Kome Kome Club;5272;AISHITERU;Aishiteru, aishiteru...;JP1;;
Kondo Masahiko;5650;YUYAKE NO UTA;Abayo to kono temo…;JP2;;
Kondo Masahiko;2293;OROKA MONO;Oroka mono yo omae no nagashita;JP5C;;
Kondo Masahiko;18361;AH GUTTO;Kaze ga bata bata nahte iru machi no;JP7A;;
Kool And The Gang;4694;CELEBRATION;Ya hoo ya hoo Celebrate good times...;USAC;;
Kosaka Akiko;2045;ANATA;Moshimo watashi ga ie o tateta nara;JP4B;;
Koshiji Fubuki;2023;AI NO SANKA;Anata no moeru te de atashi o daki;JP4A;;
Koshiji Fubuki;2057;SANS TOI MAMIE;Futari no koi wa owatta no ne;JP4B;;
Koshiji Fubuki;2281;LAST DANCE WA WATASHI NI;Anata no suki na hito to odotte rashite ;JP5C;;
Kouda Shin;5254;NAKASSE WA SHINAI;Karada hitotsu de kite kurenai ka;JP1;;
Kouda Shin;5270;YUUYAKE;Yuugue ni komoru Fuji;JP1;;
Kouda Shin;5303;USSO TSUKI;Anna dyonashi otoko demo inakya...;JP1;;
Kouda Shin;2332;KANNIN YA;Mizu no miyako ni tomoru hi ga;JP5D;;
Kouda Shin;18524;KISO KOI SANDOGASA;Nishi ni ontake higashi no sora nya;JP8A;;
Kouzai Kaori;5653;AA HITO KOISHI;Konna yuugure wa itsumo...;JP3;;
Kouzai Kaori;5661;ANATA E;Deau kotomo koini otirukotomo...;JP3;;
Kouzai Kaori;5699;HAHA KARA HAHA E;Wagamamadeshita nanimokamo...;JP3;;
Kouzai Kaori;5710;HYOUSETSU NO UMI;Yuki shin shinto umini...;JP3;;
Kouzai Kaori;5814;SUKI;Minareta machikadonimo kissetsuwa...;JP3;;
Koyanagi Yuki;5662;ANATA NO KISS WO KOZOEMASHOU;Chirakatta yuka no ue uzukumari...;JP3;;
Koyanagui Rumiko;5087;SETO NO HANAYOME;Setowa higurete yuunami konami;JP1;;
Koyanagui Rumiko;5149;OHISASHIBURINE;Ohisashiburine anata ni aunante;JP1;;
Koyanagui Rumiko;5207;KYO NO NIWAKA AME;Amadare ga hitotsubu hohoni;JP1;;
Kozai Kaori;5427;MUGON ZAKA;Ano madomo kono madomo…;JP2;;
Kozai Kaori;5441;OMOTCHA;Anataga aishitanowa watashijya…;JP2;;
Kozai Kaori;5468;SHINOBI GAWA;Naite sugata kono te…;JP2;;
Kozai Kaori;2086;HANA BANKA;Yoake no makura ni kikoemasu;JP4C;;
Kozai Kaori;2096;UKIGUMO;Mezamete mata omou watashi wa ikit;JP4C;;
Kozai Kaori;2176;KIZUNA;Yubune ni karada o shizumetemo;JP4E;;
Kozai Kaori;2207;FUHRENKA;Awazu ni yukoh ka kao mite yukoh ka;JP5A;;
Kozai Kaori;2263;HARU KAGEROH;Sakura fubuki ga mau koro;JP5B;;
Kozai Kaori;2355;SHIROI YUKI;Anata no yasashisa ni amaete iru jibun;JP5D;;
Kozai Kaori;18593;SAIHOKU KOHRO;Kita no saihate fune oikakete;JP8B;;
Kozai Kaori ;5196;HAGURESSOU;Nagassu namida wa kawaite mo;JP1;;
Kozakura Maiko;18547;ONNA NO YOGISHA;Futari de kurashita machi no akari;JP8A;;
Kris Kristofferson;4582;HELP ME MAKE IT THROUGH THE NIGHT;Take the ribbon from your hair;USAA;;
Kris Kristofferson;4578;FOR THE GOOD TIMES;Don't look so sad, I know it's over;USAH;;
Kudo Shintaro;18406;BARA NO HIBI;Anata ni aitakute kono mune setsunakute;JP7B;;
Kudo Shizuka;18503;MUGON IROPPOI;Ienai no yo ienai no yo ihtai koto nara;JP7D;;
Kuraki Mai;5451;REACH FOR THE SKY;Itazurani suguite yuku jikanga…;JP2;;
Kuraki Mai;5659;ALWAYS;Always give my love...;JP3;;
Kuraki Mai;5803;SECRET OF MY HEART;Donna kotoba ni kaete...;JP3;;
Kuraki Mai;5812;STAND UP;Stand up come on DJ...;JP3;;
Kuroke Ken;5129;KIRI NI MUSSEBU YORU;Namida dya nai yoto ii tai keredo;JP1;;
Kurosawa Akira e Los Primos;5067;LOVE YOU TOKYO;Nanairono nijiga kiete shimattano;JP1;;
Kushida Akira;18462;KIDOU KEIJI JIBAN;Jiban Jiban hitowa dare demo Jiban;JP7C;;
Kuwabata Noriyuki;5193;DONNA TOKIMO;Boku no senaka wa dibunga;JP1;;
Kuwata Kesuke;5127;KANADSHII KIMOTI (JUST A MAN  IN LOVE);Natsu  no megami ni saigo no kiss o;JP1;;
Kylie Minogue;2581;ALL THE LOVERS;Dance It's all I wanna do;INT04C;;
Kylie Minogue;19483;CAN'T GET YOU OUT OF MY HEAD;La la la... I just can't get you out of my head;INT08A;;
Lady Antebellum;2567;I RUN TO YOU;I run from hate;INT04B;;
Lady Antebellum;2547;NEED YOU NOW;Picture perfect memories;INT04B;;
Lady Antebellum;19058;JUST A KISS;Lying here with you so close to me;INT05B;;
Lady Antebellum;19452;BARTENDER;Eight o'clock on friday night;INT7D;;
Lady Gaga;2509;POKER FACE;I'm Red Wine;INT04A;;
Lady Gaga;2518;JUST DANCE;I wanna hold em' like they do in Texas;INT04A;;
Lady Gaga;2551;BAD ROMANCE;Rah-rah ah-ah-ah-ah roma-roma ma-a;INT04B;;
Lady Gaga;2571;ALEJANDRO;I know that we are young;INT04B;;
Lady Gaga;19039;PAPARAZZI;We are the crowd we're co-coming out;INT05A;;
Lady Gaga;19042;BORN THIS WAY;It doesn't matter if you love him;INT05B;;
Lady Gaga;19080;YOU AND I;It's been a long time since I came around;INT05B;;
Lady Gaga;19133;MARRY THE NIGHT;I'm gonna marry the night;INT05D;;
Lady Gaga;19217;JUDAS;Woah woah woah woah woah;INT06B;;
Lady Gaga;19551;LOVEGAME;Let's have some fun this beat is sick;INT08B;;
Lady Gaga - R. Kelly;19245;DO WHAT U WANT;I feel good I walk alone but then I trip upon myself;INT06C;;
Lady Zu;7935;DANÇA LOUCA;Dance dance dance dance dance comigo;12A;;
Lairton E Seus Teclados;4400;MORANGO DO NORDESTE;Tava tão tristonho quando ela apareceu...;4D;;
Laís;15822;EU SÓ QUERIA TE AMAR;Me olha diferente me abraça e não sinto seu;28A;;
Lamartine Babo;15624;SERRA DA BOA ESPERANÇA;Serra da Boa Esperança esperança que ;26D;;
Lana Del Rey;19440;SUMMERTIME SADNESS;Kiss me hard before you go;INT07C;;
Lara Fabian;6222;MEU GRANDE AMOR;Eu sonhei e esperei por seu amor...;5D;;
Lara Fabian;4834;LOVE BY GRACE;Uh uh uh… I remember the rain on the roof…;INT01, A41;;
L'arc En Ciel;5745;LIES AND TRUTH;Kimi ga mienakute mienakute...;JP3;;
Larissa E William;3043;CAVALEIROS DO ZODÍACO;Tem sempre alguém nos cosmos ajudando;1D;;
Larissa Manoela;15063;BEIJO, BEIJINHO, BEIJÃO;Beijo beijo beijo beijo beijinho beijão;23B;;
Larissa Manoela;16055;COISAS BOAS DA VIDA;Gosto das coisas boas que a vida tem;29C;;
Larissa Manoela;16137;NA HORA H;Uô uô uô... Cada vez que eu tento te encontrar;30A;;
Larissa Manoela - João Guilherme;16092;CÚMPLICES DE UM RESGATE;Você parece tanto comigo;29D;;
Latino;7569;CÁTIA CATCHAÇA;Tem culpa eu tem culpa Cátia;11E;;
